,Tubelabel_species,Health_Status,Date_Extracted,Raw_ng_ul,Extraction_physical_location,Date_Enriched,Microbe_Location,colony,Date_16S,Date_ITS2,16S_double_band
,052022_BEL_CBC_T2_71_OFAV,Healthy,10_3_2023,98.8,UML_NARWHAL_R2_B3,10_16_2023,UML_NARWHAL_R6_B1,2_79,2_24_2025,6_27_2025,y
,052022_BEL_CBC_T3_8_PAST,Healthy,2022,4.032,UML_NARWHAL_R2_B32,11_6_2024,UML_NARWHAL_R6_B27,3_10,2_24_2025,6_27_2025,
,122022_BEL_CBC_T3_123_PAST,Healthy,9_11_2024,2.67,UML_NARWHAL_R2_B29,10_16_2024,UML_NARWHAL_R6_B27,3_10,2_24_2025,6_27_2025,
,102019_BEL_CBC_T1_29_PSTR,Healthy,5_30_2023,3.2," UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B3",10_17_2023,UML_NARWHAL_R2_B1,1_12,2_24_2025,6_30_2025,
,052022_BEL_CBC_T2_9_PAST,Healthy,9_11_2024,4.32,UML_NARWHAL_R2_B29,9_28_2024,UML_NARWHAL_R6_B30,2_63,2_24_2025,6_30_2025,
,112023_BEL_CBC_T1_276_MCAV,Healthy,11_13_2024,11.1,UML_NARWHAL_R2_B12,,,1_24,2_25_2025,6_30_2025,
,122023_BEL_CBC_T3_531_PSTR,Healthy,11_19_2024,16.8,UML_NARWHAL_R2_B13,,,3_70,2_25_2025,6_30_2025,
,122023_BEL_CBC_T2_518_MCAV,Healthy,11_18_2024,18.8,UML_NARWHAL_R2_B13,,,2_55,2_25_2025,6_30_2025,
,082024_BEL_CBC_T4_1606_PSTR,Healthy,1_15_2025,32.4,UML_NARWHAL_R2_B15,,,4_98,2_25_2025,6_30_2025,
,122023_BEL_CBC_T3_525_PAST,Healthy,11_19_2024,2.54,UML_NARWHAL_R2_B13,,,3_6,2_25_2025,6_30_2025,
,082024_BEL_CBC_T3_1562_OFAV,Healthy,1_15_2025,76,UML_NARWHAL_R2_B15,,,3_39,2_25_2025,7_2_2025,
,112023_BEL_CBC_T3_352_PAST,Healthy,11_15_2024,9.16,UML_NARWHAL_R2_B12,,,3_10,2_25_2025,7_2_2025,
,082024_BEL_CBC_T1_1482_OANN,Healthy,1_14_2025,15.9,UML_NARWHAL_R2_B15,,,1_25,2_26_2025,7_2_2025,
,092023_BEL_CBC_T2_184_MCAV,Healthy,11_8_2024,18.9,UML_NARWHAL_R2_B12,,,2_60,2_26_2025,7_2_2025,
,082024_BEL_CBC_T3_1558_MCAV,Healthy,1_15_2025,RECHECK,UML_NARWHAL_R2_B15,,,3_14,2_26_2025,7_2_2025,
,062024_BEL_CBC_T3_1442_OFAV,Healthy,1_13_2025,71.4,UML_NARWHAL_R2_B15,,,3_39,2_26_2025,7_2_2025,y
,062024_BEL_CBC_T2_1375_SSID,Healthy,12_4_2024,71,UML_NARWHAL_R2_B15,,,2_73,2_26_2025,7_2_2025,y
,082024_BEL_CBC_T3_1561_MCAV,Healthy,1_15_2025,73.6,UML_NARWHAL_R2_B15,,,3_21,2_26_2025,7_3_2025,
,122023_BEL_CBC_T3_524_OFAV,Healthy,11_19_2024,71.8,UML_NARWHAL_R2_B13,,,3_38,2_26_2025,7_3_2025,
,122023_BEL_CBC_T4_539_MCAV,Healthy,11_19_2024,27.8,UML_NARWHAL_R2_B13,,,4_76,2_27_2025,7_3_2025,
,122023_BEL_CBC_T2_513_SSID,Healthy,11_18_2024,18.8,UML_NARWHAL_R2_B13,,,2_73,2_27_2025,7_3_2025,
