"","Tubelabel_species","Date_Extracted","Raw_ng_ul","Date_Enriched","Microbe_Location","Month_year","colony","CollectionDate","Species","Health_status","Sample_physical_location","Extraction_physical_location","immune_y.n","Condition"
"84","102019_BEL_CBC_T3_37_PSTR","6_7_2023","52.6","10_4_2023","UML_NARWHAL_R6_B1","102019","3_11","10/14/19","PSTR","Healthy","UML_NARWHAL_R1_B2","UML_NARWHAL_R2_B3","n",""
"85","102019_BEL_CBC_T3_39_PSTR","6_7_2023","24.2","10_6_2023","UML_NARWHAL_R6_B1","102019","3_32","10/14/19","PSTR","Healthy","UML_NARWHAL_R1_B2","UML_NARWHAL_R2_B3","n",""
"86","122022_BEL_CBC_T1_120_OANN","6_28_2023","15.2","10_17_2023","UML_NARWHAL_R6_B1","122022","1_22","12/4/22","OANN","Diseased_Margin","Depleted_UML_NARWHAL_R1_B4","","n","Diseased"
"87","122022_BEL_CBC_T1_132_PSTR","7_3_2024","29.4","8_2_2024","UML_NARWHAL_R6_B27","122022","1_6","12/4/22","PSTR","Diseased_Tissue","UML_NARWHAL_R1_B4","UML_NARWHAL_R2_B26","n","Diseased"
"88","122022_BEL_CBC_T1_133_PSTR","7_11_2024","9.9","8_2_2024","UML_NARWHAL_R6_B27","122022","1_6","12/2/22","PSTR","Diseased_Margin","UML_NARWHAL_R1_B4","UML_NARWHAL_R2_B26","n","Diseased"
"89","122022_BEL_CBC_T1_134_PAST","8_9_2024","1.21","10_29_2024","UML_NARWHAL_R6_B30","122022","1_20","12/4/22","PAST","Diseased_Margin","UML_NARWHAL_R1_B4","UML_NARWHAL_R2_B26","n","Diseased"
"90","122022_BEL_CBC_T1_136_OANN","6_28_2023","12.1","10_17_2023","UML_NARWHAL_R6_B1","122022","1_22","12/2/22","OANN","Diseased_Tissue","Depleted_UML_NARWHAL_R1_B4","UML_NARWHAL_R2_B3","n","Diseased"
"91","122022_BEL_CBC_T1_139_PAST","8_9_2024","1.25","10_29_2024","UML_NARWHAL_R6_B30","122022","1_20","12/2/22","PAST","Diseased_Tissue","UML_NARWHAL_R1_B4","UML_NARWHAL_R2_B26","n","Diseased"
"92","122022_BEL_CBC_T1_144_MCAV","7_19_2024","3.03","10_29_2024","UML_NARWHAL_R6_B30","122022","1_8","12/2/22","MCAV","Diseased_Tissue","UML_NARWHAL_R1_B4","UML_NARWHAL_R2_B26","n","Diseased"
"93","122022_BEL_CBC_T1_155_PAST","8_19_2024","3.08","9_28_2024","UML_NARWHAL_R6_B30","122022","1_19","12/2/22","PAST","Healthy","UML_NARWHAL_R1_B4","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34","n","Healthy"
"94","122022_BEL_CBC_T2_101_OFAV","6_28_2023","13.3","10_17_2023","UML_NARWHAL_R6_B1","122022","2_80","12/4/22","OFAV","Diseased_Margin","Depleted_UML_NARWHAL_R1_B4","UML_NARWHAL_R2_B3","n","Diseased"
"95","122022_BEL_CBC_T2_102_OFAV","6_28_2023","56.1","10_17_2023","UML_NARWHAL_R6_B1","122022","2_80","12/4/22","OFAV","Diseased_Tissue","UML_NARWHAL_R1_B4","UML_NARWHAL_R2_B3","n","Diseased"
"96","122022_BEL_CBC_T2_116_PSTR","7_11_2024","7.87","8_2_2024","UML_NARWHAL_R6_B27","122022","2_28","12/4/22","PSTR","Diseased_Margin","UML_NARWHAL_R1_B4","UML_NARWHAL_R2_B26","n","Diseased"
"97","122022_BEL_CBC_T2_117_PSTR","7_3_2024","22.5","8_2_2024","UML_NARWHAL_R6_B27","122022","2_28","12/4/22","PSTR","Diseased_Tissue","UML_NARWHAL_R1_B4","UML_NARWHAL_R2_B26","n","Diseased"
"98","122022_BEL_CBC_T2_118_OANN","6_28_2023","16","10_17_2023","UML_NARWHAL_R6_B1","122022","2_30","12/4/22","OANN","Diseased_Margin","Depleted_UML_NARWHAL_R1_B4","UML_NARWHAL_R2_B3","n","Diseased"
"99","122022_BEL_CBC_T2_119_OANN","6_28_2023","6.7","10_17_2023","UML_NARWHAL_R6_B1","122022","2_30","12/4/22","OANN","Diseased_Tissue","UML_NARWHAL_R1_B4","UML_NARWHAL_R2_B3","n","Diseased"
"100","122022_BEL_CBC_T2_85_MCAV","8_12_2024","0.162","11_6_2024","UML_NARWHAL_R6_B27","122022","2_59","12/4/22","MCAV","Healthy","UML_NARWHAL_R1_B4","UML_NARWHAL_R2_B29","n","Healthy"
"101","122022_BEL_CBC_T2_89_PAST","9_11_2024","42.6","10_6_2024","UML_NARWHAL_R6_B30","122022","2_56","12/4/22","PAST","Healthy","UML_NARWHAL_R1_B4","UML_NARWHAL_R2_B29","n","Healthy"
"102","122022_BEL_CBC_T2_89_PAST","9_11_2024","42.6","10_6_2024","UML_NARWHAL_R6_B30","122022","2_56","12/4/22","PAST","Healthy","UML_NARWHAL_R1_B4","UML_NARWHAL_R2_B29","n","Not_Visited"
"103","122022_BEL_CBC_T3_115_PAST","8_9_2024","1.21","10_29_2024","UML_NARWHAL_R6_B30","122022","3_18","12/3/22","PAST","Diseased_Tissue","UML_NARWHAL_R1_B5","UML_NARWHAL_R2_B26","n","Diseased"
"104","122022_BEL_CBC_T3_122_PAST","9_11_2024","1.79","9_28_2024","UML_NARWHAL_R6_B30","122022","3_24","12/3/22","PAST","Healthy","UML_NARWHAL_R1_B5","UML_NARWHAL_R2_B29","n","Healthy"
"105","122022_BEL_CBC_T3_129_PAST","8_9_2024","0.976","11_8_2024","UML_NARWHAL_R6_B27","122022","3_18","12/3/22","PAST","Diseased_Margin","UML_NARWHAL_R1_B5","UML_NARWHAL_R2_B29","n","Diseased"
"106","122022_BEL_CBC_T3_132_MCAV","7_19_2024","14.1","10_29_2024","UML_NARWHAL_R6_B30","122022","3_15","12/3/22","MCAV","Diseased_Tissue","UML_NARWHAL_R1_B5","UML_NARWHAL_R2_B26","n","Diseased"
"107","122022_BEL_CBC_T3_133_MCAV","7_17_2024","3.5","10_29_2024","UML_NARWHAL_R6_B30","122022","3_15","12/3/22","MCAV","Diseased_Margin","UML_NARWHAL_R1_B5","UML_NARWHAL_R2_B26","n","Diseased"
"108","122022_BEL_CBC_T3_145_MCAV","7_19_2024","5.74","10_29_2024","UML_NARWHAL_R6_B30","122022","3_67","12/3/22","MCAV","Diseased_Tissue","UML_NARWHAL_R1_B5","UML_NARWHAL_R2_B26","n","Diseased"
